,gene,area.48_mean,area.48_std,area.48_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count
0,0.0,4.0,,1.0,,,0.0,3.148936170212766,,1.0,,,0.0
1,Filler,79.27340823970037,11.77212222364783,267.0,0.0010031292887782578,5.239574362397714e-05,267.0,77.14030480495336,11.036984640701313,267.0,0.000996869327658306,4.613837008303131e-05,267.0
2,Sc_CCM 00,114.0,10.0,4.0,0.0004799664064429386,6.222326818245055e-05,4.0,109.07273545713994,16.328846576985065,4.0,0.0004710448315450055,7.897272131614222e-05,4.0
3,Sc_CCM 08,21.75,6.551081335677848,4.0,0.0005879991097999982,9.891248351335902e-05,4.0,21.50277628131562,7.903630192954421,4.0,0.0005823612442665603,0.00012280297469580454,4.0
4,Sc_CCM 09,89.66666666666667,4.04145188432738,3.0,0.0004691501651429438,2.091849701637914e-05,3.0,90.01299961195188,3.4415856267584197,3.0,0.00046985611973890596,2.0041027658600145e-05,3.0
5,Sc_CCM 10,39.666666666666664,8.504900548115382,3.0,0.00048521107451703484,1.3092667599208028e-05,3.0,40.43231255120079,9.080744071032623,3.0,0.0004898028627933866,8.896556903923073e-06,3.0
6,Sc_CCM 11,83.5,12.233832869001711,4.0,0.0010285142948396892,7.36695657761906e-05,4.0,79.215573286052,4.505918624904926,4.0,0.0010067709416507673,1.5433691741351363e-05,4.0
7,Sc_CCM 12,91.0,5.291502622129181,3.0,0.0011825131606783574,1.642234087866665e-05,3.0,92.62962962962962,3.921916628531558,3.0,0.0011979459912665072,2.699682765081525e-05,3.0
8,Sc_CCM 13,102.33333333333333,8.504900548115382,3.0,0.0010753290733460737,4.805980722799614e-05,3.0,94.79344694061213,6.1099687201294195,3.0,0.0010356793166167051,4.199405920251555e-05,3.0
9,Sc_CCM 14,89.25,7.544313531837517,4.0,0.0010785297651775883,2.7251561556720047e-05,4.0,80.42351151897445,9.973924602394295,4.0,0.0010258899672920237,6.585906039073543e-05,4.0
10,Sc_CCM 15,92.5,11.676186592091332,4.0,0.0013057500968243554,8.675036113767142e-05,4.0,83.68011229314422,18.150483569969236,4.0,0.0012362956684155498,5.134804651563086e-05,4.0
11,Sc_CCM 16,90.66666666666667,9.504384952922171,3.0,0.0013713626639176109,0.00010688123426597482,3.0,77.12056737588652,4.882333584292293,3.0,0.0012666605236800758,5.398913102423715e-05,3.0
12,Sc_CCM 17,58.333333333333336,3.785938897200182,3.0,0.0011562955582986507,1.3896079287390864e-05,3.0,58.833333333333336,2.929732638541159,3.0,0.0011637539766276262,1.3782751230152144e-05,3.0
13,Sc_CCM 19,56.0,7.393691004272943,4.0,0.0011180852217986845,5.055595323693649e-05,4.0,56.53890990816194,7.315922391240658,4.0,0.0011245164748031476,4.190957119156754e-05,4.0
14,Sc_CCM 21,52.5,3.1091263510296048,4.0,0.0014036984489413011,9.808244719320174e-05,4.0,49.845868525995094,6.301408891937182,4.0,0.0013631165576229018,5.2683249120945346e-05,4.0
15,Sc_CCM 23,52.0,5.477225575051661,4.0,0.0013648042033421303,4.4980349143657304e-05,4.0,52.13445867287544,5.215732436660875,4.0,0.0013663603597326617,4.330990958253861e-05,4.0
16,Sc_CCM 25,63.25,4.573474244670747,4.0,0.0018333948873338521,0.00011418818690024234,4.0,59.52659574468085,3.0578337209594917,4.0,0.0017780558932346594,6.4840898466472205e-06,4.0
17,Sc_CCM 26,46.0,5.0,3.0,0.0013663617352193444,0.00011315472812647583,3.0,46.80555555555555,4.449389609961639,3.0,0.0013833028661363585,9.966239542428505e-05,3.0
18,Sc_CCM 27,58.75,4.573474244670748,4.0,0.001466419047525746,0.00010344694932517161,4.0,59.111111111111114,3.865006029094687,4.0,0.0014731425565167812,9.666887637774546e-05,4.0
19,Sc_CCM 28,58.5,2.6457513110645907,4.0,0.0019508447597522958,9.618156021911213e-05,4.0,58.5,2.6457513110645907,4.0,0.0019508447597522958,9.618156021911213e-05,4.0
20,Sc_CCM 29,63.25,5.909032633745278,4.0,0.0009355639912022926,2.564543500607319e-05,4.0,64.11805555555554,5.980952920689658,4.0,0.000944636311954751,2.5878282340145724e-05,4.0
21,Sc_CCM 30,102.75,8.460693430998036,4.0,0.0010896436919759123,5.841023300583196e-05,4.0,96.79255319148936,8.16073946577996,4.0,0.0010573328612238503,2.5168154513815514e-05,4.0
22,Sc_CCM 31,47.0,1.4142135623730951,2.0,0.001098366125673908,2.9272416916715002e-05,2.0,47.281140861466824,1.0166203431494598,2.0,0.0011009908917215625,3.2984396659364366e-05,2.0
23,Sc_CCM 32,88.75,3.3040379335998358,4.0,0.0012458132797513945,2.4151303139214397e-05,4.0,89.6214186392446,2.9525884637216016,4.0,0.0012531853408579974,1.4283415043983067e-05,4.0
